spring,title,singer
spring,Fall So Hard,Christopher
spring,Slow Down,Why Don't We
spring,Your Life Your Time,Christian Leave
spring,Long Way Home,Brynn Cartelli
spring,Telling Myself,Joshua Bassett
spring,John Hughes Movie,Maisie Peters
spring,Eye To Eye,Sia
spring,Once In A Lifetime,All Time Low
spring,Time I Love To Waste,MAY-A
spring,Black Hole,Griff
spring,Used To Be (feat. Wiz Khalifa),"Steve Aoki, Kiiara"
spring,Too Late (feat. Wiz Khalifa & Lukas Graham),Cash Cash
spring,SUPERBLOOM,MisterWives
spring,Naked,Ava Max
spring,Patience (feat. YUNGBLUD & Polo G),KSI
spring,Weekend Vibe,Jubel
spring,But Cha (feat. Josh Golden),KYLE
spring,Ghost Town,EBEN
spring,Dandelion,"Galantis, JVKE"
spring,Too Many Friends,Spencer Sutherland
spring,Levitating (feat. DaBaby),Dua Lipa
spring,"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha
spring,Take You Dancing,Jason Derulo
spring,BED,"Joel Corry, Raye, David Guetta"
spring,No Sleep,Crooked Colours
spring,Damn Bean,John-Robert
spring,Bedache,Christian Leave
spring,Deadline,Grouplove
spring,Quarterback,Wallows
spring,Can't Feel A Thing,Justice Carradine
spring,Doodoodoo,CURTIS WATERS
spring,Dance Floor Darling,Kylie Minogue
spring,Murphy's Law,Roisin Murphy
spring,Good As Hell (feat. Ariana Grande) [Remix],Lizzo
spring,Somebody Sometimes,"Fitz, Fitz and The Tantrums"
